행정구역별(시군구),주택의 종류별,주택_계,2019년,2018년,2017년,2016년,2015년,2014년,2013년,2012년,2011년,2010년,2005~2009년,2000~2004년,1990~1999년,1980~1989 년,1979년 이전
경상북도,단독주택,54246,27,58,15,38,65,73,75,62,78,75,371,413,2458,2865,47573
경상북도,아파트,70572,5241,5846,2206,2198,1816,1183,1042,459,993,1261,4990,7602,27128,7727,880
경상북도,연립주택,6492,50,99,197,213,389,258,271,216,203,16,187,759,1525,1763,346
경상북도,다세대주택,9718,78,175,268,324,349,241,573,799,81,83,515,2642,2698,821,71
경상북도,비거주용 건물내 주택,2532,17,32,44,36,32,23,27,39,28,19,132,296,801,516,490
경상남도,계,147173,8440,6300,4999,2342,2558,2366,2354,1369,1188,1538,9737,13822,33120,15936,41104
경상남도,단독주택,51219,26,54,32,51,33,51,68,96,96,133,588,1148,5238,4653,38952
경상남도,아파트,81925,8251,5976,4544,1856,1917,1951,1702,665,848,1311,8302,10192,24426,8552,1432
경상남도,연립주택,4998,64,108,184,234,354,131,218,187,66,20,232,329,1029,1664,178
경상남도,다세대주택,6834,70,119,190,153,212,204,333,387,142,43,467,1902,1786,667,159
경상남도,비거주용 건물내 주택,2197,29,43,49,48,42,29,33,34,36,31,148,251,641,400,383
제주특별자치도,계,36566,1607,3309,2867,2586,2023,1149,1546,1832,921,373,1390,4047,5586,2539,4791
제주특별자치도,단독주택,8837,13,76,133,443,277,237,181,107,82,59,340,468,925,955,4541
제주특별자치도,아파트,10848,168,1117,726,823,585,299,752,917,458,236,594,1450,1881,703,139
제주특별자치도,연립주택,7596,852,1051,1018,539,820,244,233,266,134,25,231,550,1353,280,X
제주특별자치도,다세대주택,8596,538,1019,949,736,314,344,356,531,235,47,190,1498,1303,499,37
제주특별자치도,비거주용 건물내 주택,689,36,46,41,45,27,25,24,11,12,6,35,81,124,102,74
