"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각
"		108",서울,2020-06-11,26.1,31.6,16:20,21.7,5:11
"		108",서울,2020-06-12,24.7,27.6,14:21,21.6,5:25
"		108",서울,2020-06-13,26.9,33.5,15:13,20.6,5:41
"		108",서울,2020-06-14,24,28.8,14:33,20.1,23:55
"		108",서울,2020-06-15,23,28.6,15:00,18.2,5:48
"		108",서울,2020-06-16,24.4,30.7,15:27,20,3:57
"		108",서울,2020-06-17,24.3,30.3,14:55,20.2,5:33
"		108",서울,2020-06-18,23.4,27.3,15:51,20.3,5:41
"		108",서울,2020-06-19,24.7,30,14:48,21.1,6:58
"		108",서울,2020-06-20,24.9,29.7,12:54,20.7,5:03
"		108",서울,2020-06-21,26.1,32.7,14:50,19.5,5:44
"		108",서울,2020-06-22,28.6,35.4,15:09,21.7,5:22
"		108",서울,2020-06-23,27.3,31,14:05,23.2,6:10
"		108",서울,2020-06-24,22.3,26.3,0:01,19.9,12:50
"		108",서울,2020-06-25,21.6,23.4,15:27,20.1,23:31
"		108",서울,2020-06-26,21.8,25.7,15:29,19.2,3:38
"		108",서울,2020-06-27,24.1,29.6,15:25,20.4,5:24
"		108",서울,2020-06-28,25.2,30.1,15:07,21.5,5:54
"		108",서울,2020-06-29,23.8,26.5,10:59,20.6,23:57
"		108",서울,2020-06-30,20.1,23.1,14:50,18.4,5:07
"		108",서울,2020-07-01,21.1,24.3,16:42,18.1,4:47
"		108",서울,2020-07-02,24.2,29.8,16:35,20.4,1:14
"		108",서울,2020-07-03,25.5,30.6,15:08,21.6,24:00:00
"		108",서울,2020-07-04,24.2,29.5,14:51,20.4,5:42
"		108",서울,2020-07-05,23.8,27.6,13:13,19.9,5:21
"		108",서울,2020-07-06,25.6,30.9,16:05,21.8,5:54
"		108",서울,2020-07-07,24.1,28.1,16:47,22.1,6:59
"		108",서울,2020-07-08,25.5,30.4,16:02,21.3,5:36
"		108",서울,2020-07-09,27.5,32.9,14:49,21.8,5:26
"		108",서울,2020-07-10,24.5,27.7,0:01,22.7,23:44
"		108",서울,2020-07-11,25.8,30.2,14:06,22.2,4:32
"		108",서울,2020-07-12,23.5,26,12:35,21.7,23:19
"		108",서울,2020-07-13,18.7,21.7,0:01,17.7,6:15
"		108",서울,2020-07-14,20.3,24.3,15:33,17.2,4:16
"		108",서울,2020-07-15,23.4,28.7,17:03,18.9,5:47
"		108",서울,2020-07-16,25,29.7,15:14,20.4,4:54
"		108",서울,2020-07-17,26,31.6,14:33,21.5,5:44
"		108",서울,2020-07-18,26.1,31,15:39,22.8,5:29
"		108",서울,2020-07-19,24,26.6,22:01,20.6,9:04
"		108",서울,2020-07-20,23.8,26.6,2:12,22.4,22:17
"		108",서울,2020-07-21,25,30.5,15:33,21.4,6:11
"		108",서울,2020-07-22,23.7,25.7,15:01,22.6,22:22
"		108",서울,2020-07-23,21.1,22.6,0:01,18.5,23:19
"		108",서울,2020-07-24,22.5,26.8,16:25,18.7,0:01
"		108",서울,2020-07-25,24.3,29,15:55,22.3,2:35
"		108",서울,2020-07-26,25.4,29.6,16:14,21.6,5:49
"		108",서울,2020-07-27,24.3,25.5,15:40,22.9,6:11
"		108",서울,2020-07-28,24.4,26.4,14:47,22.7,5:48
"		108",서울,2020-07-29,23.7,24.9,17:46,22.6,9:25
"		108",서울,2020-07-30,25.3,28.4,14:39,23.4,23:24
"		108",서울,2020-07-31,26.2,29.6,13:19,22.8,6:35
"		108",서울,2020-08-01,25.3,26.9,11:13,24.3,5:46
"		108",서울,2020-08-02,24.9,26.4,15:01,23.5,18:55
"		108",서울,2020-08-03,25,26.3,1:42,23.9,20:02
"		108",서울,2020-08-04,27,29.4,15:20,25,0:01
"		108",서울,2020-08-05,26.5,29.1,16:30,25.5,23:46
"		108",서울,2020-08-06,24.1,26,16:44,22.9,23:57
"		108",서울,2020-08-07,24.3,26.1,15:36,22.6,6:28
"		108",서울,2020-08-08,24.2,26.1,16:28,22.7,4:32
"		108",서울,2020-08-09,24.9,25.8,23:30,23.7,0:01
"		108",서울,2020-08-10,26.5,29.5,13:31,24.7,23:57
"		108",서울,2020-08-11,24.6,27.3,13:33,22.4,5:36
"		108",서울,2020-08-12,27.2,31.3,14:05,23.5,4:31
"		108",서울,2020-08-13,28,30.3,15:57,26.3,5:06
"		108",서울,2020-08-14,27.1,28,11:47,26.5,8:22
"		108",서울,2020-08-15,26.1,27,17:45,25,7:29
"		108",서울,2020-08-16,27.4,30.8,14:41,25.3,5:33
"		108",서울,2020-08-17,28.2,32.2,16:02,26.1,4:59
"		108",서울,2020-08-18,27.5,31.9,15:43,24,6:22
"		108",서울,2020-08-19,27.1,31.4,15:48,23.6,5:14
"		108",서울,2020-08-20,27.7,31.7,13:10,25,3:01
"		108",서울,2020-08-21,26.6,29.2,16:30,25.2,5:43
"		108",서울,2020-08-22,24.3,27.6,12:07,21.7,23:42
"		108",서울,2020-08-23,25.3,29.9,15:55,21.5,0:45
"		108",서울,2020-08-24,27.8,32,15:21,23.7,5:54
"		108",서울,2020-08-25,29.9,34.5,14:52,26,6:18
"		108",서울,2020-08-26,30.2,34.5,15:53,27,5:52
"		108",서울,2020-08-27,27.1,28.6,16:11,25.6,7:36
"		108",서울,2020-08-28,27.3,29.7,12:28,26,5:51
"		108",서울,2020-08-29,26.8,29,16:12,25.5,5:58
"		108",서울,2020-08-30,26.8,30.6,14:23,24.4,23:48
"		108",서울,2020-08-31,26.4,30,16:10,23.8,1:07
"		108",서울,2020-09-01,26.6,29.5,14:59,23.8,6:30
"		108",서울,2020-09-02,24.3,26.4,0:02,22.6,23:46
"		108",서울,2020-09-03,22.7,25.6,14:20,20,7:41
"		108",서울,2020-09-04,23.3,27.5,15:41,19.9,3:25
"		108",서울,2020-09-05,23.3,27.3,15:29,19.2,6:15
"		108",서울,2020-09-06,21.7,24.4,14:49,19.5,22:52
"		108",서울,2020-09-07,19.2,20.6,23:52,17.5,7:51
"		",,,,,,,
"	",,,,,,,
"	",,,,,,,
"	",,,,,,,
"	",,,,,,,
"		",,,,,,,
